x,y,Temperature
6.400000000000000133e-01,2.000000000000000111e-01,8.189495977493690759e+01
6.800000000000000488e-01,2.000000000000000111e-01,6.724399605569438165e+01
7.199999999999999734e-01,2.000000000000000111e-01,5.381312227955062610e+01
7.600000000000000089e-01,2.000000000000000111e-01,4.091311095295154843e+01
8.000000000000000444e-01,2.000000000000000111e-01,2.824428943702676520e+01
0.000000000000000000e+00,2.399999999999999911e-01,8.962661136286047281e+01
4.000000000000000083e-02,2.399999999999999911e-01,9.000419395233591047e+01
8.000000000000000167e-02,2.399999999999999911e-01,9.132023557924610202e+01
1.199999999999999956e-01,2.399999999999999911e-01,9.350719307997020735e+01
1.600000000000000033e-01,2.399999999999999911e-01,9.646231190951530721e+01
2.000000000000000111e-01,2.399999999999999911e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.399999999999999911e-01,1.000000000000000000e+02
6.400000000000000133e-01,2.399999999999999911e-01,8.366258601085921498e+01
6.800000000000000488e-01,2.399999999999999911e-01,6.864386612224389239e+01
7.199999999999999734e-01,2.399999999999999911e-01,5.465759219715105388e+01
7.600000000000000089e-01,2.399999999999999911e-01,4.132472464601752904e+01
8.000000000000000444e-01,2.399999999999999911e-01,2.832683460968706868e+01
0.000000000000000000e+00,2.800000000000000266e-01,8.700332154451804456e+01
4.000000000000000083e-02,2.800000000000000266e-01,8.746786543509534795e+01
8.000000000000000167e-02,2.800000000000000266e-01,8.909672409366675083e+01
1.199999999999999956e-01,2.800000000000000266e-01,9.183475343237452648e+01
1.600000000000000033e-01,2.800000000000000266e-01,9.556696316476484299e+01
2.000000000000000111e-01,2.800000000000000266e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.800000000000000266e-01,1.000000000000000000e+02
6.400000000000000133e-01,2.800000000000000266e-01,8.408051736069783999e+01
6.800000000000000488e-01,2.800000000000000266e-01,6.898600618505432180e+01
7.199999999999999734e-01,2.800000000000000266e-01,5.482762374992730514e+01
7.600000000000000089e-01,2.800000000000000266e-01,4.138334343569788842e+01
8.000000000000000444e-01,2.800000000000000266e-01,2.833788729449852539e+01
0.000000000000000000e+00,3.200000000000000067e-01,8.345094394502099533e+01
4.000000000000000083e-02,3.200000000000000067e-01,8.399949409514952947e+01
8.000000000000000167e-02,3.200000000000000067e-01,8.594502622334785258e+01
1.199999999999999956e-01,3.200000000000000067e-01,8.930503485803167507e+01
1.600000000000000033e-01,3.200000000000000067e-01,9.407742188095213010e+01
2.000000000000000111e-01,3.200000000000000067e-01,1.000000000000000000e+02
5.999999999999999778e-01,3.200000000000000067e-01,1.000000000000000000e+02
6.400000000000000133e-01,3.200000000000000067e-01,8.364326949993413507e+01
6.800000000000000488e-01,3.200000000000000067e-01,6.836660587237246034e+01
7.199999999999999734e-01,3.200000000000000067e-01,5.426226238115155098e+01
7.600000000000000089e-01,3.200000000000000067e-01,4.102497010597767968e+01
8.000000000000000444e-01,3.200000000000000067e-01,2.826372246344805816e+01
0.000000000000000000e+00,3.599999999999999867e-01,7.880146604526682097e+01
4.000000000000000083e-02,3.599999999999999867e-01,7.940841585219814647e+01
8.000000000000000167e-02,3.599999999999999867e-01,8.159502208300988002e+01
1.199999999999999956e-01,3.599999999999999867e-01,8.553093832718640499e+01
1.600000000000000033e-01,3.599999999999999867e-01,9.157404341595255914e+01
2.000000000000000111e-01,3.599999999999999867e-01,1.000000000000000000e+02
5.999999999999999778e-01,3.599999999999999867e-01,1.000000000000000000e+02
6.400000000000000133e-01,3.599999999999999867e-01,8.209491732738719350e+01
6.800000000000000488e-01,3.599999999999999867e-01,6.654916713441454590e+01
7.199999999999999734e-01,3.599999999999999867e-01,5.280864025724415711e+01
7.600000000000000089e-01,3.599999999999999867e-01,4.017266391080892163e+01
8.000000000000000444e-01,3.599999999999999867e-01,2.808884983214481323e+01
0.000000000000000000e+00,4.000000000000000222e-01,7.293808853164992456e+01
4.000000000000000083e-02,4.000000000000000222e-01,7.354115608883209632e+01
8.000000000000000167e-02,4.000000000000000222e-01,7.573866417717505328e+01
1.199999999999999956e-01,4.000000000000000222e-01,7.984644876396029645e+01
1.600000000000000033e-01,4.000000000000000222e-01,8.686047360106498161e+01
2.000000000000000111e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.399999999999999911e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.800000000000000266e-01,4.000000000000000222e-01,1.000000000000000000e+02
3.200000000000000067e-01,4.000000000000000222e-01,1.000000000000000000e+02
3.599999999999999867e-01,4.000000000000000222e-01,1.000000000000000000e+02
4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000000e+02
4.400000000000000022e-01,4.000000000000000222e-01,1.000000000000000000e+02
4.799999999999999822e-01,4.000000000000000222e-01,1.000000000000000000e+02
5.200000000000000178e-01,4.000000000000000222e-01,1.000000000000000000e+02
5.600000000000000533e-01,4.000000000000000222e-01,1.000000000000000000e+02
5.999999999999999778e-01,4.000000000000000222e-01,1.000000000000000000e+02
6.400000000000000133e-01,4.000000000000000222e-01,7.815325718625771856e+01
6.800000000000000488e-01,4.000000000000000222e-01,6.290033378403315112e+01
7.199999999999999734e-01,4.000000000000000222e-01,5.022980515616971076e+01
7.600000000000000089e-01,4.000000000000000222e-01,3.875111980415761792e+01
8.000000000000000444e-01,4.000000000000000222e-01,2.779920879068997053e+01
0.000000000000000000e+00,4.400000000000000022e-01,6.586857590366862780e+01
4.000000000000000083e-02,4.400000000000000022e-01,6.638098957289643920e+01
8.000000000000000167e-02,4.400000000000000022e-01,6.821619733826960896e+01
1.199999999999999956e-01,4.400000000000000022e-01,7.146110817975400664e+01
1.600000000000000033e-01,4.400000000000000022e-01,7.622180293397866535e+01
2.000000000000000111e-01,4.400000000000000022e-01,8.202130911721434359e+01
2.399999999999999911e-01,4.400000000000000022e-01,8.419104294865269367e+01
2.800000000000000266e-01,4.400000000000000022e-01,8.509434040296329727e+01
3.200000000000000067e-01,4.400000000000000022e-01,8.548902088676274502e+01
3.599999999999999867e-01,4.400000000000000022e-01,8.564038369070456724e+01
4.000000000000000222e-01,4.400000000000000022e-01,8.563757484308088408e+01
4.400000000000000022e-01,4.400000000000000022e-01,8.548365976079119832e+01
4.799999999999999822e-01,4.400000000000000022e-01,8.510463782087846596e+01
5.200000000000000178e-01,4.400000000000000022e-01,8.429632549373013717e+01
5.600000000000000533e-01,4.400000000000000022e-01,8.254247993886852441e+01
